track_name,album_name
Kiss & Tell,Kiss & Tell
I Won't Apologize,Kiss & Tell
Falling Down,Kiss & Tell
I Promise You,Kiss & Tell
Crush,Kiss & Tell
Naturally,Kiss & Tell
The Way I Loved You,Kiss & Tell
More,Kiss & Tell
As A Blonde,Kiss & Tell
I Don't Miss You At All,Kiss & Tell
Stop & Erase,Kiss & Tell
I Got U,Kiss & Tell
Tell Me Something I Don't Know,Kiss & Tell
Round & Round,A Year Without Rain
A Year Without Rain,A Year Without Rain
Rock God,A Year Without Rain
Off The Chain,A Year Without Rain
Summer's Not Hot,A Year Without Rain
Intuition,A Year Without Rain
Spotlight,A Year Without Rain
Ghost Of You,A Year Without Rain
Sick Of You,A Year Without Rain
Live Like There's No Tomorrow,A Year Without Rain
Round & Round - Dave Audé Radio Remix,A Year Without Rain
A Year Without Rain - Remix - EK'S Future Classic Radio Edit,A Year Without Rain
Un Año Sin Lluvia,A Year Without Rain
Round & Round,A Year Without Rain (International Standard Version)
A Year Without Rain,A Year Without Rain (International Standard Version)
Naturally,A Year Without Rain (International Standard Version)
Rock God,A Year Without Rain (International Standard Version)
Off The Chain,A Year Without Rain (International Standard Version)
Summer's Not Hot,A Year Without Rain (International Standard Version)
Intuition,A Year Without Rain (International Standard Version)
Spotlight,A Year Without Rain (International Standard Version)
Ghost Of You,A Year Without Rain (International Standard Version)
Sick Of You,A Year Without Rain (International Standard Version)
Live Like There's No Tomorrow,A Year Without Rain (International Standard Version)
Kiss & Tell,Kiss & Tell (European Version)
I Won't Apologize,Kiss & Tell (European Version)
Falling Down,Kiss & Tell (European Version)
I Promise You,Kiss & Tell (European Version)
Crush,Kiss & Tell (European Version)
Naturally,Kiss & Tell (European Version)
The Way I Loved You,Kiss & Tell (European Version)
More,Kiss & Tell (European Version)
As A Blonde,Kiss & Tell (European Version)
I Don't Miss You At All,Kiss & Tell (European Version)
Stop & Erase,Kiss & Tell (European Version)
I Got U,Kiss & Tell (European Version)
