track_name,album_name
Lavender Haze,Midnights (3am Edition)
Maroon,Midnights (3am Edition)
Anti-Hero,Midnights (3am Edition)
Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition)
"You're On Your Own, Kid",Midnights (3am Edition)
Midnight Rain,Midnights (3am Edition)
Question...?,Midnights (3am Edition)
Vigilante Shit,Midnights (3am Edition)
Bejeweled,Midnights (3am Edition)
Labyrinth,Midnights (3am Edition)
Karma,Midnights (3am Edition)
Sweet Nothing,Midnights (3am Edition)
Mastermind,Midnights (3am Edition)
The Great War,Midnights (3am Edition)
Bigger Than The Whole Sky,Midnights (3am Edition)
Paris,Midnights (3am Edition)
High Infidelity,Midnights (3am Edition)
Glitch,Midnights (3am Edition)
"Would've, Could've, Should've",Midnights (3am Edition)
Dear Reader,Midnights (3am Edition)
Lavender Haze,Midnights
Maroon,Midnights
Anti-Hero,Midnights
Snow On The Beach (feat. Lana Del Rey),Midnights
"You're On Your Own, Kid",Midnights
Midnight Rain,Midnights
Question...?,Midnights
Vigilante Shit,Midnights
Bejeweled,Midnights
Labyrinth,Midnights
Karma,Midnights
Sweet Nothing,Midnights
Mastermind,Midnights
State Of Grace (Taylor's Version),Red (Taylor's Version)
Red (Taylor's Version),Red (Taylor's Version)
Treacherous (Taylor's Version),Red (Taylor's Version)
I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version)
All Too Well (Taylor's Version),Red (Taylor's Version)
22 (Taylor's Version),Red (Taylor's Version)
I Almost Do (Taylor's Version),Red (Taylor's Version)
We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version)
Stay Stay Stay (Taylor's Version),Red (Taylor's Version)
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor's Version),Red (Taylor's Version)
Holy Ground (Taylor's Version),Red (Taylor's Version)
Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version)
The Lucky One (Taylor's Version),Red (Taylor's Version)
Everything Has Changed (feat. Ed Sheeran) (Taylor's Version),Red (Taylor's Version)
Starlight (Taylor's Version),Red (Taylor's Version)
Begin Again (Taylor's Version),Red (Taylor's Version)
The Moment I Knew (Taylor's Version),Red (Taylor's Version)
Come Back...Be Here (Taylor's Version),Red (Taylor's Version)
Girl At Home (Taylor's Version),Red (Taylor's Version)
State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version)
Ronan (Taylor's Version),Red (Taylor's Version)
Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version)
Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault),Red (Taylor's Version)
Babe (Taylor's Version) (From The Vault),Red (Taylor's Version)
Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version)
I Bet You Think About Me (feat. Chris Stapleton) (Taylor's Version) (From The Vault),Red (Taylor's Version)
Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version)
Run (feat. Ed Sheeran) (Taylor's Version) (From The Vault),Red (Taylor's Version)
The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version)
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version)
Fearless (Taylor's Version),Fearless (Taylor's Version)
Fifteen (Taylor's Version),Fearless (Taylor's Version)
Love Story (Taylor's Version),Fearless (Taylor's Version)
Hey Stephen (Taylor's Version),Fearless (Taylor's Version)
White Horse (Taylor's Version),Fearless (Taylor's Version)
You Belong With Me (Taylor's Version),Fearless (Taylor's Version)
Breathe (feat. Colbie Caillat) (Taylor's Version),Fearless (Taylor's Version)
Tell Me Why (Taylor's Version),Fearless (Taylor's Version)
You're Not Sorry (Taylor's Version),Fearless (Taylor's Version)
The Way I Loved You (Taylor's Version),Fearless (Taylor's Version)
Forever & Always (Taylor's Version),Fearless (Taylor's Version)
The Best Day (Taylor's Version),Fearless (Taylor's Version)
Change (Taylor's Version),Fearless (Taylor's Version)
Jump Then Fall (Taylor's Version),Fearless (Taylor's Version)
Untouchable (Taylor's Version),Fearless (Taylor's Version)
Forever & Always (Piano Version) (Taylor's Version),Fearless (Taylor's Version)
Come In With The Rain (Taylor's Version),Fearless (Taylor's Version)
Superstar (Taylor's Version),Fearless (Taylor's Version)
The Other Side Of The Door (Taylor's Version),Fearless (Taylor's Version)
Today Was A Fairytale (Taylor's Version),Fearless (Taylor's Version)
You All Over Me (feat. Maren Morris) (Taylor's Version) (From The Vault),Fearless (Taylor's Version)
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Fearless (Taylor's Version)
We Were Happy (Taylor's Version) (From The Vault),Fearless (Taylor's Version)
That‚s When (feat. Keith Urban) (Taylor's Version) (From The Vault),Fearless (Taylor's Version)
